,Unnamed: 0,drugName,condition,review,rating,date,usefulCount
97,101,glimepiride,"Diabetes, Type 2","""I have been on this medicine for about a month and do not like it at all. My new insurance  does not cover kombiglyze so this was what my Dr. chose. I eat breakfast and take this medication. Not more than two hours later I am getting hungry, I start getting anxious and cranky and start shaking.  My blood sugar reading will be in the 70 but I have to eat right then or I will get a splitting headache. It takes me about an hour and a half at least to get my blood levels back up but for  the rest of the day I feel lethargic and almost like I&#039;m half drunk. I have to get off this medication, I feel like my emotions are on a roller coaster! I don&#039;t have time for this!!""",2.0,"April 20, 2016",25
100,104,glimepiride,"Diabetes, Type 2","""I have never taking some that screwed me up so much, read the symptoms below , they all fit me. Watch out for bad drug.""",1.0,"May 16, 2016",16
107,111,glimepiride,"Diabetes, Type 2","""After two weeks on this medication I got severe stomach pains and feelings of fullness.  The pains went away about three days after stopping this medication but three months later still have the fullness.  Now I have to have a camera put into my stomach to see what&#039;s going on.""",1.0,"February 17, 2017",9
113,117,glimepiride,"Diabetes, Type 2","""Rather than reduce my blood sugar, this stuff actually caused a 150-200 point increase over the time that I took it.  Needless to say, I&#039;m back to glyburide for much better control.""",1.0,"March 1, 2015",20
122,126,glipizide,"Diabetes, Type 2","""I had severe headaches, muscle aches, anxiety.  I felt flushed, skin excessively warm. Dizziness my eyeballs hurt. Nausea, vomiting, motion sickness yes motion sickness.""",3.0,"August 10, 2014",55
123,127,glipizide,"Diabetes, Type 2","""I have been on juniva and metformin for years. It has kept my weight and sugar levels between 91-135. For some reason my doctor decided to take me off that medication and put me on glipizide. In one month I had gained 15 pounds and my blood sugars were in the high 100&#039;s low 200&#039;s. After two months she decided to switch me back on to juniva. A bit late I think by blood sugar is now up into the 300&#039; reds&#039; and I have packed on another 15 pds. The glipizide ruined my blood sugars and an extra bonus it made me gain weight. DO NOT TAKE GLIPIZIDE FOR A FIRST SECOND OR THIRD CHOICE. TRY EVERYTHING ELSE FIRST!!!! There&#039;s no out of pocket experience but you pay dearly with your health.""",1.0,"September 10, 2017",6
126,130,glipizide,"Diabetes, Type 2","""I started taking Glipizide ER initially with instructions to take it only if my blood glucose level was 180 or higher.  I did not have to take it every day, but took it several times a week. Then I was started having a hard time controlling my daily glucose levels. My Hg A1c was higher, so the instructions were changed to 2 in the a.m. and 1 at night.  I purchased the medication from a different source and it was a larger pill with now Glipazide XL instead of ER.  I have experienced a number of side effects and feel worse with it than before I started taking it.  The longer I have taken it the worse I feel.  I feel drugged, want to sleep all the time, have a slight headache, more thirsty, constipation on occasion, dry eyes, and more.  Yuck!""",3.0,"September 8, 2015",54
127,131,glipizide,"Diabetes, Type 2","""If anything my sugar levels have increased while on this med.""",3.0,"August 3, 2017",9
129,133,glipizide,"Diabetes, Type 2","""This drug has been great at bringing down my blood sugar levels and my A1C to acceptable levels in the 6 months I&#039;ve been taking it (blood glucose ranges from 90 - 130 instead of 180-240, and A1C is 6.5 instead of 8.5).""",4.0,"May 28, 2008",126
132,136,glipizide,"Diabetes, Type 2","""Dropped sugar way to much""",1.0,"September 22, 2015",25
134,138,glipizide,"Diabetes, Type 2","""Severe stomach pain, nausea, headache after I stopped taking this for a couple of weeks, my symptoms went away. Started taking it again. All the above came back..""",4.0,"January 5, 2016",27
140,144,glipizide,"Diabetes, Type 2","""After having a severe reaction to Metformin, the doctor put me on Glipizide. While I don&#039;t faint on this medication, the side effects have been horrible for me. My sugar does seem to be better after being high for so long, it&#039;s finally below 160 most of the time. However, I am severely dizzy and foggy-headed constantly, to the point I stopped driving. Also have bad lower back ache, nausea, stomach upset any time I eat, blurry vision (I have perfect vision so this bothers me), and I&#039;ve noticed some changes in my emotional response to things as well, such as anger and a bit of depression - which I&#039;ve never had. The effects have been bad enough that I&#039;ve had to take off work several days in a row as well as miss school.""",5.0,"October 2, 2014",49
142,146,glipizide,"Diabetes, Type 2","""Ever since I was taken off Metformin and was prescribed Glipizide ER my A1C has drastically gone up to 8 and I&#039;ve gained weight and my abdomen is huge as if I am 9 months    pregnant.""",2.0,"January 25, 2016",46
145,153,pioglitazone,"Diabetes, Type 2","""I been taken Actos 30mg since a year from now and my sugar lever went down but not enough, then my doctor changed it to 45mg. Is great for my sugar level but my legs, feet and ankle can not handle it ss too much swelling.""",5.0,"September 13, 2009",41
146,154,pioglitazone,"Diabetes, Type 2","""I was taking 30 mg of Actos daily, and for the two weeks after I seriously started taking it, I had dull throbbing headaches to full blown migraines non-stop!  About 2 weeks into taking it, I developed a dull pain in my kidney area.  Thinking it was a kidney infection, I went to my Dr&#039;s.  We found out that it was muscle soreness...one of the common side effects.  I also gained weight. As soon as I stopped taking it, the headaches stopped,and the muscle pain is going away.""",3.0,"March 4, 2008",66
147,155,pioglitazone,"Diabetes, Type 2","""Effective. However, because of issues with possible Bladder Cancer reports, my new Endocrinologist immediately took me off Actos. Also, nausea and vomiting side effects.""",1.0,"November 19, 2015",11
148,156,pioglitazone,"Diabetes, Type 2","""Have been on Actos for almost a year, gained 24 pounds and have swelling in hands and feet and are retaining a lot of water in my thighs.  My sugar levels are good.  My doctor lowered my dosage from 30 mg to 15 mg but refused to take me off.  Will get a second opinion because the side effects are too much.""",4.0,"June 9, 2010",42
150,158,pioglitazone,"Diabetes, Type 2","""I have been taking Actos for 5 years. Recently the cardiologist diagnosed me with heart failure. My EF is 30%. 2 weeks ago I stopped taking Actos and my fasting blood test is 125 the same reading as when I was taking Actos.""",2.0,"September 30, 2015",18
151,159,pioglitazone,"Diabetes, Type 2","""My blood sugar level with Actos is higher then without taking it.""",1.0,"September 25, 2010",39
153,161,pioglitazone,"Diabetes, Type 2","""I have been taking actos since Nov and had great results at first and now it seems like it it doesn&#039;t work at all even after taking an additional pill with evening meals.  Blood sugar readings are the same with or without it""",2.0,"February 15, 2016",15
154,162,pioglitazone,"Diabetes, Type 2","""Changing diet and exercise before starting Actos got my levels at a certain level at certain times during the day.  Added Actos, my numbers didn&#039;t change, doctor still has me on it for some unknown reason.""",1.0,"February 2, 2010",17
158,166,pioglitazone,"Diabetes, Type 2","""I&#039;ve been taking 30 mg of Actos per day for 3 years. In that time I have gained 55 lbs and I have had problems with my feet, ankles and lower legs swelling. I would have stopped taking this medication a long time ago but I was blaming the water retention and weight gain on menopause. Now that I stopped taking Actos I lost 4 lbs in 2 days.""",2.0,"October 16, 2010",58
160,168,pioglitazone,"Diabetes, Type 2","""I took Actos 45 mg for about 2 years an had swelling in my legs and muscle pain as side effects. Actos did bring my HbA1C down to 5.9 so it was great for blood sugar control but the side effects just got to be to much to handle. I tried switching to glucophage during that time but could not tolerate it due to stomach problems. My doctor is now switching me to glipizide and we&#039;ll see how that goes.""",3.0,"December 31, 2008",42
161,169,pioglitazone,"Diabetes, Type 2","""Worked well at first. Now I get 200 plus readings when I wake up.""",5.0,"March 26, 2017",6
162,170,pioglitazone,"Diabetes, Type 2","""I was on Actos for nine months.  At first it controlled my blood sugar well, but then I started to have blood sugar lows in the 40s, gained 28 pounds eating 1200 calories a day, swelling of feet and lower legs, and finally short term memory loss.  Got a second opinion on the drug.  Stopped it and all symptoms ceased within one week.  I have lost 12 of the 28 pounds.  I have lost 50 before this drug.  I am now on glipizide and metformin.  My blood sugar is a little higher but I feel so much better.  I took a difficult college class and got an A, so I know my brain is functioning better.  """,1.0,"September 15, 2009",54
163,171,pioglitazone,"Diabetes, Type 2","""Been taking 30mg of Pioglitazone daily. Noticed increased anxiety, weight gain, difficulty sleeping at night. Going to stop tomorrow 12/1/14 to see if any conditions reverse themselves.""",2.0,"November 30, 2014",7
164,172,pioglitazone,"Diabetes, Type 2","""Causes edema. I lost 30lbs in less than 3 months after going off Actos.""",3.0,"May 5, 2011",45
165,173,pioglitazone,"Diabetes, Type 2","""Took 30 mg Actos for 8 or so months was very happy with it at first. It did lower my numbers but...I had so many bad side effects. Weight gain, chronic fatigue, swelling, urgent need to urinate, watery eyes, and pain. I could barley get up my steps. I stopped taking this medicine myself and I feel as if I have been raised from the dead. """,1.0,"January 25, 2011",80
166,174,pioglitazone,"Diabetes, Type 2","""Experienced many side effects, blood sugar was higher than before I was placed on Actos.  My doctor took me off of it immediately.  After she did, I felt great.""",1.0,"September 22, 2010",31
